../DDBJ/1772-062-248_E06.1.fastq.bz2	Input file name.
04-10-2015; 6:06pm	Date and Time
20.000000	selected threshold
1842001	total input reads
1613651	successfully extracted
87.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9678	low complexity
218672	match artifacts:
50547	Nextera_701
103	Nextera_702
697	Nextera_703
22	Nextera_704
32	Nextera_705
146860	Nextera_706
10	Nextera_707
25	Nextera_708
21	Nextera_709
9	Nextera_710
35	Nextera_711
20	Nextera_712
13	Nextera_701_Reversed:
7	Nextera_703_Reversed:
45	Nextera_704_Reversed:
1	Nextera_705_Reversed:
253	Nextera_706_Reversed:
1	Nextera_709_Reversed:
1	Nextera_710_Reversed:
3	Nextera_711_Reversed:
1	Nextera_712_Reversed:
5	rRNA_5.8S
2170	rRNA_18S
117	rRNA_28S
10061	EC2_RNA_SPIKE_1_(750_bp)
913	EC15_RNA_SPIKE_4_(1000_bp)
63	EC18_RNA_SPIKE_7_(1474bp)
4979	HPV18
1658	HPV18_as
