../DDBJ/1772-062-248_A06.2.fastq.bz2	Input file name.
04-10-2015; 3:31pm	Date and Time
20.000000	selected threshold
2036241	total input reads
1807485	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3472	low complexity
225284	match artifacts:
206962	Nextera_501
12	Nextera_502
8	Nextera_503
39	Nextera_504
172	Nextera_505
9	Nextera_506
4	Nextera_507
10	Nextera_508
26	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_504_Reversed:
1	Nextera_508_Reversed:
2	rRNA_5.8S
2746	rRNA_18S
160	rRNA_28S
8000	EC2_RNA_SPIKE_1_(750_bp)
639	EC15_RNA_SPIKE_4_(1000_bp)
83	EC18_RNA_SPIKE_7_(1474bp)
4729	HPV18
1680	HPV18_as
