../DDBJ/1772-067-039_A10.1.fastq.bz2	Input file name.
04-11-2015;10:27am	Date and Time
20.000000	selected threshold
705983	total input reads
627181	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6578	low complexity
72224	match artifacts:
15363	Nextera_701
4759	Nextera_702
6	Nextera_703
11	Nextera_704
21	Nextera_705
5	Nextera_706
8	Nextera_707
10	Nextera_708
21	Nextera_709
49395	Nextera_710
10	Nextera_711
3	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
3	Nextera_704_Reversed:
1	Nextera_705_Reversed:
3	Nextera_709_Reversed:
100	Nextera_710_Reversed:
2	Nextera_712_Reversed:
1	rRNA_5.8S
664	rRNA_18S
68	rRNA_28S
105	EC2_RNA_SPIKE_1_(750_bp)
3	EC18_RNA_SPIKE_7_(1474bp)
1291	HPV18
368	HPV18_as
