../DDBJ/1772-064-103_A04.2.fastq.bz2	Input file name.
04-11-2015;12:45am	Date and Time
20.000000	selected threshold
1473589	total input reads
1268903	successfully extracted
86.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1823	low complexity
202863	match artifacts:
196094	Nextera_501
29	Nextera_502
14	Nextera_503
11	Nextera_504
21	Nextera_505
4	Nextera_506
1	Nextera_507
13	Nextera_508
29	Nextera_701
4	Nextera_501_Reversed:
1	Nextera_502_Reversed:
1	Nextera_503_Reversed:
2	Nextera_504_Reversed:
1	Nextera_507_Reversed:
37	rRNA_18S
30	rRNA_28S
5383	EC2_RNA_SPIKE_1_(750_bp)
7	EC3_RNA_SPIKE_3_(1000_bp)
293	EC15_RNA_SPIKE_4_(1000_bp)
31	EC18_RNA_SPIKE_7_(1474bp)
638	HPV18
219	HPV18_as
