../DDBJ/1772-067-038_G01.2.fastq.bz2	Input file name.
04-11-2015; 9:20am	Date and Time
20.000000	selected threshold
1678142	total input reads
1536431	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9517	low complexity
132194	match artifacts:
28965	Nextera_501
437	Nextera_502
5	Nextera_503
5429	Nextera_504
172	Nextera_505
5490	Nextera_506
90598	Nextera_507
8	Nextera_508
7	Nextera_701
1	rRNA_5.8S
104	rRNA_18S
36	rRNA_28S
248	EC2_RNA_SPIKE_1_(750_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
486	HPV18
207	HPV18_as
