../DDBJ/1772-062-249_A05.1.fastq.bz2	Input file name.
04-10-2015; 9:08pm	Date and Time
20.000000	selected threshold
1621640	total input reads
1478602	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3363	low complexity
139675	match artifacts:
22703	Nextera_701
14	Nextera_702
153	Nextera_703
3	Nextera_704
93812	Nextera_705
2	Nextera_706
4	Nextera_707
3	Nextera_708
9	Nextera_709
4	Nextera_710
11	Nextera_711
13	Nextera_712
4	Nextera_701_Reversed:
2	Nextera_703_Reversed:
3	Nextera_704_Reversed:
542	Nextera_705_Reversed:
3	Nextera_706_Reversed:
5	Nextera_709_Reversed:
19	Nextera_711_Reversed:
19	Nextera_712_Reversed:
1	rRNA_5.8S
4185	rRNA_18S
196	rRNA_28S
13904	EC2_RNA_SPIKE_1_(750_bp)
1390	EC15_RNA_SPIKE_4_(1000_bp)
125	EC18_RNA_SPIKE_7_(1474bp)
1961	HPV18
585	HPV18_as
