../DDBJ/1772-062-249_B12.1.fastq.bz2	Input file name.
04-10-2015; 9:50pm	Date and Time
20.000000	selected threshold
1718332	total input reads
1503951	successfully extracted
87.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1832	low complexity
212549	match artifacts:
34031	Nextera_701
16	Nextera_702
8	Nextera_703
6	Nextera_704
5265	Nextera_705
146	Nextera_706
4	Nextera_707
37	Nextera_708
24	Nextera_709
6	Nextera_710
26	Nextera_711
146175	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
30	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_708_Reversed:
3	Nextera_709_Reversed:
6	Nextera_710_Reversed:
168	Nextera_711_Reversed:
2993	Nextera_712_Reversed:
3517	rRNA_18S
93	rRNA_28S
12655	EC2_RNA_SPIKE_1_(750_bp)
938	EC15_RNA_SPIKE_4_(1000_bp)
279	EC18_RNA_SPIKE_7_(1474bp)
4727	HPV18
1389	HPV18_as
