../DDBJ/1772-067-039_A01.2.fastq.bz2	Input file name.
04-11-2015;10:14am	Date and Time
20.000000	selected threshold
1128305	total input reads
1037688	successfully extracted
92.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5857	low complexity
84760	match artifacts:
81918	Nextera_501
45	Nextera_502
7	Nextera_503
121	Nextera_504
43	Nextera_505
2	Nextera_506
6	Nextera_508
2	Nextera_701
8	rRNA_5.8S
778	rRNA_18S
94	rRNA_28S
178	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1071	HPV18
486	HPV18_as
