../DDBJ/1772-067-038_A11.2.fastq.bz2	Input file name.
04-11-2015; 6:19am	Date and Time
20.000000	selected threshold
1488475	total input reads
1350479	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11341	low complexity
126655	match artifacts:
125098	Nextera_501
40	Nextera_502
3	Nextera_503
45	Nextera_504
32	Nextera_505
1	Nextera_508
1	Nextera_701
1	Nextera_501_Reversed:
45	rRNA_18S
26	rRNA_28S
456	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
652	HPV18
254	HPV18_as
