../DDBJ/1772-067-038_E08.2.fastq.bz2	Input file name.
04-11-2015; 8:30am	Date and Time
20.000000	selected threshold
1830193	total input reads
1691545	successfully extracted
92.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8307	low complexity
130341	match artifacts:
32725	Nextera_501
161	Nextera_502
5	Nextera_503
32	Nextera_504
93672	Nextera_505
2	Nextera_506
3	Nextera_507
11	Nextera_508
7	Nextera_701
84	rRNA_18S
5	rRNA_28S
320	EC2_RNA_SPIKE_1_(750_bp)
2380	HPV18
934	HPV18_as
