Library	Run	Well
RNhi10397	1772-067-039	F05
RNhi10397	1772-067-039	F06
RNhi10397	1772-067-039	F07
RNhi10397	1772-067-039	F08
RNhi10397	1772-067-039	F09
RNhi10397	1772-067-039	F10
RNhi10397	1772-067-039	F11
RNhi10397	1772-067-039	F12
RNhi10397	1772-067-039	G01
RNhi10397	1772-067-039	G02
RNhi10397	1772-067-039	G03
RNhi10397	1772-067-039	G04
RNhi10397	1772-067-039	G05
RNhi10397	1772-067-039	G06
RNhi10397	1772-067-039	G07
RNhi10397	1772-067-039	G08
RNhi10397	1772-067-039	G09
RNhi10397	1772-067-039	G10
RNhi10397	1772-067-039	G11
RNhi10397	1772-067-039	G12
RNhi10397	1772-067-039	H01
RNhi10397	1772-067-039	H02
RNhi10397	1772-067-039	H03
RNhi10397	1772-067-039	H04
RNhi10397	1772-067-039	H05
RNhi10397	1772-067-039	H06
RNhi10397	1772-067-039	H07
RNhi10397	1772-067-039	H08
RNhi10397	1772-067-039	H09
RNhi10397	1772-067-039	H10
RNhi10397	1772-067-039	H11
RNhi10397	1772-067-039	H12
