"Run","Well","cell_id","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as"
"1772-062-248","A01","1772-062-248_A01",3094.44379950346,4149.68604951925,292.769261162401,41.4968604951925,0,0,2344.95449092772,108.451917613202,0.254581966228175,108543.312539078,2084.77172144252,753.562620035397
"1772-062-248","A02","1772-062-248_A02",34459.273317212,5752.50455871228,182.567134417512,19.6778947276361,0,0,364.041052461267,177.101052548725,3.27964912127268,251986.374151117,804.607251085564,452.59157873563
"1772-062-248","A03","1772-062-248_A03",2430.86373243259,6193.9029399808,657.041970231976,20.2199504930475,0,0,2404.89705916783,140.901128698921,0,105107.559494544,2729.48047497728,964.810900894573
"1772-062-248","A04","1772-062-248_A04",2511.14979063772,5268.02562920377,434.338637668997,8.98155189241298,0,0,2311.71327938568,91.4275923407168,0,107656.105129295,2441.60033752211,876.27705001619
"1772-062-248","A05","1772-062-248_A05",2888.14590744524,4752.61084248969,425.938049676997,42.8895952799754,0,0,1522.33414051223,118.562616837173,1.47895156137846,107481.818755472,2918.71090638039,1057.2038744587
"1772-062-248","A06","1772-062-248_A06",3480.43281713707,3927.82583201104,323.390011300234,42.9713378720888,0,0,1365.26079182179,75.6295546548763,0.736651506378665,103527.774953947,2340.09628526289,818.174273084571
"1772-062-248","A07","1772-062-248_A07",2528.46511638476,7935.72941635859,850.459619359195,145.057240799186,0,0,2464.45813545771,145.057240799186,0.946848830281892,119995.477849987,1744.66365467741,624.541488453936
"1772-062-248","A08","1772-062-248_A08",5164.96465043205,530263.157894737,27778.8688138256,3755.19021434182,0,0,43.4855796206935,9.81932443047918,0,194424.026484121,16.8331275951072,11.2220850634048
"1772-062-248","A09","1772-062-248_A09",3517.26700000634,3657.90128530573,258.710690249991,36.3040886863066,0,0,1744.35859134496,114.904203026563,0.352466880449579,112681.899345328,2246.97636286606,769.43520002143
"1772-062-248","A10","1772-062-248_A10",9221.41064873759,526919.669116278,36647.3824893714,3305.85896490875,0,0,22.3368848980321,0,0,189241.811670278,18.6140707483601,11.1684424490161
"1772-062-248","A11","1772-062-248_A11",1782.10925193787,12359.5550255613,1090.1886989841,205.920853558491,0,0,3033.69090286693,216.680383688155,0,131754.419187321,371.948680020844,126.962455530034
"1772-062-248","A12","1772-062-248_A12",3567.04221206091,3432.22681639009,343.531891262107,5.56577321576771,0,0,1111.91780466115,69.8813748201946,0.309209623098206,118721.962417426,4229.98764398346,1542.02839039075
"1772-062-248","B01","1772-062-248_B01",2334.13756147608,6138.80203071992,397.795343304467,3.44148643062388,0,0,2188.17804874197,122.071548098012,0.202440378271993,111061.423244933,1419.30949206494,511.769276271599
"1772-062-248","B02","1772-062-248_B02",3708.97698870259,3533.99980464876,211.830255352834,16.179397155662,0,0,1342.5903454541,55.4294161814346,0,112225.392185591,2128.78919983293,769.719838757326
"1772-062-248","B03","1772-062-248_B03",3830.29068241588,3680.23559246951,282.175308584407,46.3317508798549,0,0,2520.44724786411,111.794031155263,1.19565808722206,103318.309889467,2233.48930693081,787.041935913922
"1772-062-248","B04","1772-062-248_B04",3047.23924096191,9780.66165550394,823.035904139794,99.6992474982108,0,0,2475.93359450951,233.11421562341,25.8556139777518,113759.3235344,3468.78917125518,1264.64979087979
"1772-062-248","B05","1772-062-248_B05",4529.06502691481,4742.5392953707,383.36947027434,47.6843410308281,0,0,1478.53036229362,94.1055207098461,1.57895168976252,106999.240208447,2566.74386687795,903.476156882114
"1772-062-248","B06","1772-062-248_B06",8010.59767786176,526712.382139796,33836.2035377542,3999.0649107769,0,0,38.9620509623627,20.2602665004286,0,191620.042079015,7.79241019247253,1.55848203849451
"1772-062-248","B07","1772-062-248_B07",13764.8162413339,217912.121362721,15174.9993787739,1485.50679621301,0,0,2113.72164103074,1594.99788783142,68.3348656909276,205280.266133241,11.6479884700445,9.31839077603558
"1772-062-248","B08","1772-062-248_B08",3288.04752932091,8148.26762859287,704.826005244648,62.0755219598269,0,0,2742.5649898944,134.904283944191,0.977567274957904,107045.57174244,2998.93200775211,1056.50583241075
"1772-062-248","B09","1772-062-248_B09",6631.6049533131,510357.758080947,31944.7405737802,3237.11668172696,0,0,15.2295086960495,6.76867053157754,0,206124.631530498,45.6885260881484,8.46083816447192
"1772-062-248","B10","1772-062-248_B10",5020.04729780845,3800.18813870954,304.656433061102,16.4456913933119,0,0,966.595511641905,76.883607263733,0,108185.102834908,1788.8800813075,618.357996388526
"1772-062-248","B11","1772-062-248_B11",2493.45090811901,5871.83243264889,411.617292768853,18.858032078211,0,0,1616.20319366594,72.8711609935808,1.86252168673689,111161.813090361,1256.03806249319,468.424204214328
"1772-062-248","B12","1772-062-248_B12",2549.40988723848,4907.23041579713,381.863458604423,40.9922312049524,0,0,1508.8210020518,82.4228819949845,1.75367834031882,116935.052522666,2374.48047279168,866.317100117496
"1772-062-248","C01","1772-062-248_C01",3682.48385663367,4373.70461762781,381.589576643041,41.4942554092226,0,0,1561.81225897878,71.1705266829072,0.262621869678624,111792.352241057,1239.04998114375,454.598456413699
"1772-062-248","C02","1772-062-248_C02",9588.77832394197,488912.600407625,39916.0772089677,6008.87183790912,0,0,7.1933820884786,2.39779402949287,0,207773.648243616,35.966910442393,16.7845582064501
"1772-062-248","C03","1772-062-248_C03",2538.72419378207,7974.59978332184,570.347960911432,145.785624131864,0,0,1901.52027915875,89.2013398581861,1.62184254287611,117797.307164724,3048.8837758801,1120.15258294643
"1772-062-248","C04","1772-062-248_C04",3829.05953228355,5134.05904037686,379.346863660827,2.89356875408717,0,0,1301.237868713,79.5731407373971,0.578713750817433,108928.106390736,4143.87981272823,1490.4772652303
"1772-062-248","C05","1772-062-248_C05",4629.76397755852,5323.80537821629,473.677210292126,58.6428709615013,0,0,1317.04633391372,60.15428516154,3.62739408009286,111088.641420004,3527.3384600503,1239.66192687174
"1772-062-248","C06","1772-062-248_C06",3726.67860033376,6659.03896192914,604.240757779073,150.269298400555,0,0,2096.91578855792,92.0069914768308,0.263630348071149,107936.85525903,776.655005417604,271.802888861354
"1772-062-248","C07","1772-062-248_C07",3187.50871904398,6677.11214341282,519.791547206456,11.4185344658534,0,0,1397.77755602653,73.9722450179196,0.248229010127247,114415.701179932,1037.34903332177,378.052782423797
"1772-062-248","C08","1772-062-248_C08",9842.27572417668,503236.693821571,25629.1620536378,5959.06935241337,0,0,30.9830295619413,4.13107060825884,0,204686.286498009,51.6383826032355,18.5898177371648
"1772-062-248","C09","1772-062-248_C09",3737.53316365787,4011.46316487444,384.71051641445,74.1222356233076,0,0,1402.2799032866,74.927912097474,1.61135294833277,118183.876318993,1106.59663726753,382.696325229034
"1772-062-248","C10","1772-062-248_C10",2678.27947286106,8653.83884189634,898.082923750402,22.0528406340065,0,0,1256.50495428471,63.8771935605705,2.53480926827661,108766.130892481,1413.40964799104,454.744782728824
"1772-062-248","C11","1772-062-248_C11",8111.04110935557,524120.369301408,34588.1972642141,2656.95144920127,0,0,19.7910722473092,6.59702408243641,0,197575.923500909,4.94776806182731,0
"1772-062-248","C12","1772-062-248_C12",1537.34855436148,4911.8820331576,521.297492023473,61.2552039437043,0,0,1016.67932083999,52.616649541387,0.628258501986711,141445.805008037,4040.64455552753,1526.51109520221
"1772-062-248","D01","1772-062-248_D01",1955.3773544612,4793.54418485457,450.070473668475,24.0251142527656,0,0,1526.12864647845,58.1941656344766,0.266945713919617,119768.664844317,450.871310810234,181.25613975142
"1772-062-248","D02","1772-062-248_D02",2165.78205560429,4495.13037349003,369.495009758081,27.3591050218961,0,0,1363.24830829534,77.664556191189,2.64765532469962,120908.416425583,2201.67249445022,803.710483008819
"1772-062-248","D03","1772-062-248_D03",1639.56967025275,6657.12044992218,580.319238080423,35.6478510827225,0,0,1731.69853214186,79.6289660549125,0.231479552485211,122670.96848267,3187.01047861638,1209.24918218274
"1772-062-248","D04","1772-062-248_D04",1998.50712609761,5974.77185075411,478.331213787297,49.4166379540529,0,0,1712.10904204346,102.10951709843,0.546040198387325,113282.045597633,1565.49724877646,564.605565132494
"1772-062-248","D05","1772-062-248_D05",1869.60831224001,5284.53462895262,500.650267117878,3.61393359324744,0,0,1195.00737483382,73.4833163960312,0.481857812432992,119780.455943499,2476.26729809314,909.506620967272
"1772-062-248","D06","1772-062-248_D06",2442.51482186858,7944.96220429918,767.288849538115,67.8903322629718,0,0,1348.07142780286,91.7159960382789,2.04951946454254,114374.202288596,974.54650538998,370.963023082201
"1772-062-248","D07","1772-062-248_D07",6768.50890557795,513356.681543004,34245.3517062845,4636.49601574824,0,0,32.0223279895371,11.7976997856189,0,205155.257729179,18.5392425202583,15.1684711529386
"1772-062-248","D08","1772-062-248_D08",2184.54908596101,6418.94389276298,645.590518197275,37.7826511922069,0,0,1241.89931744819,68.7206191974198,0.547574654959521,116259.955591695,2585.92130804634,959.35079548908
"1772-062-248","D09","1772-062-248_D09",2217.56508122657,4558.32822252128,433.886064010481,6.73213442995315,0,0,1708.27911160061,81.1222198809355,0.336606721497658,121210.397377699,1727.80230144748,641.909017896033
"1772-062-248","D10","1772-062-248_D10",2502.68089323231,6115.6431584653,579.035939077279,54.2653489231103,0,0,1182.73794584688,83.2479784615897,0.924977538462108,113182.409887147,3022.51826984801,1110.58969784684
"1772-062-248","D11","1772-062-248_D11",7291.66207586502,521760.399818425,37150.2360039312,1732.01764630701,0,0,141.029426671309,92.5505612530465,0,196341.608528755,22.035847917392,15.4250935421744
"1772-062-248","D12","1772-062-248_D12",1025.43886871262,6413.31242084427,495.860836890973,61.5632365152189,0,0,958.843215043572,46.29823781526,10.2325815461263,147245.841965327,1991.32746777156,796.128393736318
"1772-062-248","E01","1772-062-248_E01",4345.61488224438,4502.19208077949,377.100046853635,30.7775791013664,0,0,1330.30856465324,71.7147474206596,0,105008.318910701,1317.45967240703,460.169629282566
"1772-062-248","E02","1772-062-248_E02",2758.05657715314,7419.47019418403,578.534222405819,33.6536337189886,0,0,2080.87353529624,114.062697490312,0.513795934641047,108854.604998823,2681.50098289162,998.048603040233
"1772-062-248","E03","1772-062-248_E03",2875.80252167695,10003.6040388239,900.051185019468,118.616969271735,0,0,1689.6328289596,64.70016505731,1.917041927624,105507.038419437,2836.98242264257,1064.91679079513
"1772-062-248","E04","1772-062-248_E04",7330.39191655092,533963.831467713,32378.7346460767,3674.04744396329,0,0,57.1942152136612,35.4059427513141,0,183336.056867391,5.44706811558679,5.44706811558679
"1772-062-248","E05","1772-062-248_E05",3762.12578348979,8993.93935548414,651.696419979082,42.5651617106013,0,0,2272.08074373235,104.694435014895,0,106858.648764976,1162.4783605063,385.730254259424
"1772-062-248","E06","1772-062-248_E06",3454.12407485121,5495.11102328392,489.684859020163,35.0162676350339,0,0,1180.78111792556,63.7893247614958,1.35721967577651,100962.214461339,2704.39592595227,933.495692999081
"1772-062-248","E07","1772-062-248_E07",4541.58424496324,7050.98112853253,782.830817245588,34.6413967929189,0,0,1504.14887383085,100.039173915999,3.23751371896438,104866.306870975,3401.97941588777,1168.41870117425
"1772-062-248","E08","1772-062-248_E08",3204.16431718982,6830.97341436418,557.609172357622,28.4547751811708,0,0,1160.64156381179,72.5727293611511,0.261052983313493,103941.116889084,1820.5835056283,656.809306016749
"1772-062-248","E09","1772-062-248_E09",2939.63554428066,6491.48999309325,551.489415342436,23.9635281666654,0,0,1697.79955723278,85.3495523744245,0.656535018264804,110225.335948969,1643.63541822594,600.073006694031
