"cell_id","Run","Well","Row","Column","Concentration","Error","fluo_QC","ch2_corrected","ch3_corrected","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as","Control","Reads","HiSeq_QC","Discard"
"1772-062-248_A01","1772-062-248","A01","A","1",3.743,"0",FALSE,39.8713353284251,94.2374362401092,3094.44379950346,4149.68604951925,292.769261162401,41.4968604951925,0,0,2344.95449092772,108.451917613202,0.254581966228175,108543.312539078,2084.77172144252,753.562620035397,NA,3928008,TRUE,FALSE
"1772-062-248_A02","1772-062-248","A02","A","2",0.173,"1",TRUE,NA,NA,34459.273317212,5752.50455871228,182.567134417512,19.6778947276361,0,0,364.041052461267,177.101052548725,3.27964912127268,251986.374151117,804.607251085564,452.59157873563,"PC",914732,TRUE,TRUE
"1772-062-248_A03","1772-062-248","A03","A","3",2.832,"0",FALSE,14.0836957416993,30.261257967798,2430.86373243259,6193.9029399808,657.041970231976,20.2199504930475,0,0,2404.89705916783,140.901128698921,0,105107.559494544,2729.48047497728,964.810900894573,NA,4698330,TRUE,FALSE
"1772-062-248_A04","1772-062-248","A04","A","4",3.739,"0",FALSE,52.9448218396483,11.2552947448981,2511.14979063772,5268.02562920377,434.338637668997,8.98155189241298,0,0,2311.71327938568,91.4275923407168,0,107656.105129295,2441.60033752211,876.27705001619,NA,4342234,TRUE,FALSE
"1772-062-248_A05","1772-062-248","A05","A","5",4.2,"3",TRUE,NA,NA,2888.14590744524,4752.61084248969,425.938049676997,42.8895952799754,0,0,1522.33414051223,118.562616837173,1.47895156137846,107481.818755472,2918.71090638039,1057.2038744587,NA,4056928,TRUE,TRUE
"1772-062-248_A06","1772-062-248","A06","A","6",4.485,"0",FALSE,19.2978385733946,50.0743035356816,3480.43281713707,3927.82583201104,323.390011300234,42.9713378720888,0,0,1365.26079182179,75.6295546548763,0.736651506378665,103527.774953947,2340.09628526289,818.174273084571,NA,4072482,TRUE,FALSE
"1772-062-248_A07","1772-062-248","A07","A","7",2.444,"0",FALSE,14.0115993611594,66.4278782283754,2528.46511638476,7935.72941635859,850.459619359195,145.057240799186,0,0,2464.45813545771,145.057240799186,0.946848830281892,119995.477849987,1744.66365467741,624.541488453936,NA,5280674,TRUE,FALSE
"1772-062-248_A08","1772-062-248","A08","A","8",0.091,"1",TRUE,NA,NA,5164.96465043205,530263.157894737,27778.8688138256,3755.19021434182,0,0,43.4855796206935,9.81932443047918,0,194424.026484121,16.8331275951072,11.2220850634048,NA,712880,TRUE,TRUE
"1772-062-248_A09","1772-062-248","A09","A","9",4.404,"0",FALSE,21.2038348405433,95.067424825288,3517.26700000634,3657.90128530573,258.710690249991,36.3040886863066,0,0,1744.35859134496,114.904203026563,0.352466880449579,112681.899345328,2246.97636286606,769.43520002143,NA,2837146,TRUE,FALSE
"1772-062-248_A10","1772-062-248","A10","A","10",0.046,"1",TRUE,NA,NA,9221.41064873759,526919.669116278,36647.3824893714,3305.85896490875,0,0,22.3368848980321,0,0,189241.811670278,18.6140707483601,11.1684424490161,"NC",268614,TRUE,TRUE
"1772-062-248_A11","1772-062-248","A11","A","11",1.672,"0",FALSE,13.9693359656704,23.4090787498674,1782.10925193787,12359.5550255613,1090.1886989841,205.920853558491,0,0,3033.69090286693,216.680383688155,0,131754.419187321,371.948680020844,126.962455530034,NA,6041156,TRUE,FALSE
"1772-062-248_A12","1772-062-248","A12","A","12",4.781,"0",FALSE,60.3634758569468,53.7162078137031,3567.04221206091,3432.22681639009,343.531891262107,5.56577321576771,0,0,1111.91780466115,69.8813748201946,0.309209623098206,118721.962417426,4229.98764398346,1542.02839039075,NA,3234052,TRUE,FALSE
"1772-062-248_B01","1772-062-248","B01","B","1",3.099,"0",FALSE,36.6630939798253,67.461246952978,2334.13756147608,6138.80203071992,397.795343304467,3.44148643062388,0,0,2188.17804874197,122.071548098012,0.202440378271993,111061.423244933,1419.30949206494,511.769276271599,NA,4939726,TRUE,FALSE
"1772-062-248_B02","1772-062-248","B02","B","2",3.935,"0",TRUE,NA,NA,3708.97698870259,3533.99980464876,211.830255352834,16.179397155662,0,0,1342.5903454541,55.4294161814346,0,112225.392185591,2128.78919983293,769.719838757326,NA,3337578,TRUE,TRUE
"1772-062-248_B03","1772-062-248","B03","B","3",3.927,"0",TRUE,NA,NA,3830.29068241588,3680.23559246951,282.175308584407,46.3317508798549,0,0,2520.44724786411,111.794031155263,1.19565808722206,103318.309889467,2233.48930693081,787.041935913922,NA,3345438,TRUE,TRUE
