Run,Well,Control
1772-062-248,A02,PC
1772-062-248,A10,NC
1772-062-249,C09,PC
1772-062-249,H10,NC
1772-064-103,H01,PC
1772-064-103,F08,NC
1772-067-038,F12,PC
1772-067-038,G12,NC
1772-067-039,A02,PC
1772-067-039,B01,NC
